target,system,class,recall,precision,support
T,A_zero_shot,T1,0.6053,0.92,38
T,A_zero_shot,T2,0.9057,0.8421,53
T,A_zero_shot,T3,0.7879,0.8667,33
T,A_zero_shot,T4,0.8421,0.8421,19
T,C_constrained,T1,0.4737,1.0,38
T,C_constrained,T2,0.9623,0.7612,53
T,C_constrained,T3,0.8485,0.875,33
T,C_constrained,T4,0.7895,0.7895,19
T,C_plus_unknown,T1,0.4737,1.0,38
T,C_plus_unknown,T2,0.9057,0.7619,53
T,C_plus_unknown,T3,0.7879,0.8387,33
T,C_plus_unknown,T4,0.7895,0.7143,19
T,D_grounded,T1,0.5263,0.9091,38
T,D_grounded,T2,0.9245,0.7656,53
T,D_grounded,T3,0.7879,0.8387,33
T,D_grounded,T4,0.7368,0.7778,19
T,BBTEN,T1,0.6316,0.8276,38
T,BBTEN,T2,0.8868,0.7581,53
T,BBTEN,T3,0.8182,0.7941,33
T,BBTEN,T4,0.8421,0.8889,19
N,A_zero_shot,N0,0.7753,0.9857,89
N,A_zero_shot,N1,0.8889,0.9697,36
N,A_zero_shot,N2,1.0,0.6842,13
N,A_zero_shot,N3,0.4286,1.0,7
N,C_constrained,N0,0.7753,0.9857,89
N,C_constrained,N1,0.9167,1.0,36
N,C_constrained,N2,1.0,0.65,13
N,C_constrained,N3,0.4286,1.0,7
N,C_plus_unknown,N0,0.764,0.9855,89
N,C_plus_unknown,N1,0.9167,0.9706,36
N,C_plus_unknown,N2,0.8462,0.6111,13
N,C_plus_unknown,N3,0.4286,0.75,7
N,D_grounded,N0,0.7753,0.9857,89
N,D_grounded,N1,0.9167,1.0,36
N,D_grounded,N2,0.9231,0.6316,13
N,D_grounded,N3,0.4286,0.75,7
N,BBTEN,N0,0.8989,0.8989,89
N,BBTEN,N1,0.6944,0.7353,36
N,BBTEN,N2,0.6923,0.6923,13
N,BBTEN,N3,0.4286,0.3333,7
M,A_zero_shot,M0,0.46,0.9857,150
M,A_zero_shot,M1,0.5,1.0,12
M,C_constrained,M0,0.5267,0.9875,150
M,C_constrained,M1,0.5833,1.0,12
M,C_plus_unknown,M0,0.2867,0.9773,150
M,C_plus_unknown,M1,0.5833,0.875,12
M,D_grounded,M0,0.24,0.973,150
M,D_grounded,M1,0.5833,1.0,12
M,BBTEN,M0,0.9733,0.9299,150
M,BBTEN,M1,0.0833,0.2,12
