target,system,n,accuracy,coverage,balanced_accuracy,macro_f1
T,A_zero_shot,143,0.7902,0.951,0.7852,0.8176
T,C_constrained,143,0.7832,0.972,0.7685,0.786
T,C_plus_unknown,143,0.7483,0.9301,0.7392,0.7582
T,D_grounded,143,0.7622,0.9441,0.7439,0.7684
T,BBTEN,143,0.7972,1.0,0.7947,0.8012
N,A_zero_shot,145,0.8069,0.9586,0.7732,0.802
N,C_constrained,145,0.8138,0.931,0.7801,0.8031
N,C_plus_unknown,145,0.7931,0.8897,0.7389,0.7647
N,D_grounded,145,0.8069,0.9241,0.7609,0.78
N,BBTEN,145,0.8069,1.0,0.6785,0.6701
M,A_zero_shot,162,0.463,0.9012,0.48,0.647
M,C_constrained,162,0.5309,0.7407,0.555,0.7119
M,C_plus_unknown,162,0.3086,0.4506,0.435,0.5716
M,D_grounded,162,0.2654,0.4753,0.4117,0.5609
M,BBTEN,162,0.9074,1.0,0.5283,0.5344
