arm,error_category,count,n_evaluable,rate_over_evaluable
A_zero_shot,hallucinated_stage,25,1000,0.025
A_zero_shot,wrong_stage_with_supporting_evidence,85,1000,0.085
A_zero_shot,evidence_span_not_found,226,1000,0.226
A_zero_shot,evidence_does_not_support_prediction,308,1000,0.308
A_zero_shot,missed_explicit_stage,0,1000,0.0
A_zero_shot,over_abstention,0,1000,0.0
A_zero_shot,invalid_normalization,29,1000,0.029
A_zero_shot,invalid_schema_output,0,1000,0.0
A_zero_shot,other,0,1000,0.0
C_constrained,hallucinated_stage,21,1000,0.021
C_constrained,wrong_stage_with_supporting_evidence,96,1000,0.096
C_constrained,evidence_span_not_found,187,1000,0.187
C_constrained,evidence_does_not_support_prediction,347,1000,0.347
C_constrained,missed_explicit_stage,0,1000,0.0
C_constrained,over_abstention,0,1000,0.0
C_constrained,invalid_normalization,0,1000,0.0
C_constrained,invalid_schema_output,0,1000,0.0
C_constrained,other,0,1000,0.0
C_plus_unknown,hallucinated_stage,21,1000,0.021
C_plus_unknown,wrong_stage_with_supporting_evidence,72,1000,0.072
C_plus_unknown,evidence_span_not_found,213,1000,0.213
C_plus_unknown,evidence_does_not_support_prediction,301,1000,0.301
C_plus_unknown,missed_explicit_stage,0,1000,0.0
C_plus_unknown,over_abstention,0,1000,0.0
C_plus_unknown,invalid_normalization,0,1000,0.0
C_plus_unknown,invalid_schema_output,0,1000,0.0
C_plus_unknown,other,0,1000,0.0
D_grounded,hallucinated_stage,17,1000,0.017
D_grounded,wrong_stage_with_supporting_evidence,89,1000,0.089
D_grounded,evidence_span_not_found,152,1000,0.152
D_grounded,evidence_does_not_support_prediction,353,1000,0.353
D_grounded,missed_explicit_stage,0,1000,0.0
D_grounded,over_abstention,0,1000,0.0
D_grounded,invalid_normalization,0,1000,0.0
D_grounded,invalid_schema_output,0,1000,0.0
D_grounded,other,0,1000,0.0
