arm,error_category,count,n_evaluable,rate_over_evaluable
A_zero_shot,hallucinated_stage,20,1000,0.02
A_zero_shot,wrong_stage_with_supporting_evidence,125,1000,0.125
A_zero_shot,evidence_span_not_found,113,1000,0.113
A_zero_shot,evidence_does_not_support_prediction,371,1000,0.371
A_zero_shot,missed_explicit_stage,0,1000,0.0
A_zero_shot,over_abstention,0,1000,0.0
A_zero_shot,invalid_normalization,24,1000,0.024
A_zero_shot,invalid_schema_output,0,1000,0.0
A_zero_shot,other,0,1000,0.0
C_constrained,hallucinated_stage,31,1000,0.031
C_constrained,wrong_stage_with_supporting_evidence,148,1000,0.148
C_constrained,evidence_span_not_found,96,1000,0.096
C_constrained,evidence_does_not_support_prediction,357,1000,0.357
C_constrained,missed_explicit_stage,0,1000,0.0
C_constrained,over_abstention,0,1000,0.0
C_constrained,invalid_normalization,0,1000,0.0
C_constrained,invalid_schema_output,0,1000,0.0
C_constrained,other,0,1000,0.0
C_plus_unknown,hallucinated_stage,33,1000,0.033
C_plus_unknown,wrong_stage_with_supporting_evidence,128,1000,0.128
C_plus_unknown,evidence_span_not_found,121,1000,0.121
C_plus_unknown,evidence_does_not_support_prediction,356,1000,0.356
C_plus_unknown,missed_explicit_stage,0,1000,0.0
C_plus_unknown,over_abstention,0,1000,0.0
C_plus_unknown,invalid_normalization,0,1000,0.0
C_plus_unknown,invalid_schema_output,0,1000,0.0
C_plus_unknown,other,0,1000,0.0
D_grounded,hallucinated_stage,17,1000,0.017
D_grounded,wrong_stage_with_supporting_evidence,147,1000,0.147
D_grounded,evidence_span_not_found,57,1000,0.057
D_grounded,evidence_does_not_support_prediction,335,1000,0.335
D_grounded,missed_explicit_stage,0,1000,0.0
D_grounded,over_abstention,0,1000,0.0
D_grounded,invalid_normalization,0,1000,0.0
D_grounded,invalid_schema_output,0,1000,0.0
D_grounded,other,0,1000,0.0
