arm,error_category,count,n_evaluable,rate_over_evaluable
A_zero_shot,hallucinated_stage,123,3000,0.041
A_zero_shot,wrong_stage_with_supporting_evidence,409,3000,0.13633333333333333
A_zero_shot,evidence_span_not_found,711,3000,0.237
A_zero_shot,evidence_does_not_support_prediction,866,3000,0.2886666666666667
A_zero_shot,missed_explicit_stage,0,3000,0.0
A_zero_shot,over_abstention,0,3000,0.0
A_zero_shot,invalid_normalization,206,3000,0.06866666666666667
A_zero_shot,invalid_schema_output,0,3000,0.0
A_zero_shot,other,0,3000,0.0
C_constrained,hallucinated_stage,95,3000,0.03166666666666667
C_constrained,wrong_stage_with_supporting_evidence,467,3000,0.15566666666666668
C_constrained,evidence_span_not_found,570,3000,0.19
C_constrained,evidence_does_not_support_prediction,980,3000,0.32666666666666666
C_constrained,missed_explicit_stage,0,3000,0.0
C_constrained,over_abstention,0,3000,0.0
C_constrained,invalid_normalization,0,3000,0.0
C_constrained,invalid_schema_output,0,3000,0.0
C_constrained,other,0,3000,0.0
C_plus_unknown,hallucinated_stage,83,3000,0.027666666666666666
C_plus_unknown,wrong_stage_with_supporting_evidence,345,3000,0.115
C_plus_unknown,evidence_span_not_found,495,3000,0.165
C_plus_unknown,evidence_does_not_support_prediction,824,3000,0.27466666666666667
C_plus_unknown,missed_explicit_stage,0,3000,0.0
C_plus_unknown,over_abstention,0,3000,0.0
C_plus_unknown,invalid_normalization,0,3000,0.0
C_plus_unknown,invalid_schema_output,0,3000,0.0
C_plus_unknown,other,0,3000,0.0
D_grounded,hallucinated_stage,70,3000,0.023333333333333334
D_grounded,wrong_stage_with_supporting_evidence,453,3000,0.151
D_grounded,evidence_span_not_found,298,3000,0.09933333333333333
D_grounded,evidence_does_not_support_prediction,915,3000,0.305
D_grounded,missed_explicit_stage,0,3000,0.0
D_grounded,over_abstention,0,3000,0.0
D_grounded,invalid_normalization,0,3000,0.0
D_grounded,invalid_schema_output,0,3000,0.0
D_grounded,other,0,3000,0.0
