target,arm,value,count,fraction
T,A_zero_shot,T2,401,0.401
T,A_zero_shot,T3,255,0.255
T,A_zero_shot,T1,182,0.182
T,A_zero_shot,T4,92,0.092
T,A_zero_shot,unknown,41,0.041
T,A_zero_shot,INVALID,24,0.024
T,A_zero_shot,TX,5,0.005
T,C_constrained,T2,413,0.413
T,C_constrained,T3,280,0.28
T,C_constrained,T1,160,0.16
T,C_constrained,T4,100,0.1
T,C_constrained,unknown,29,0.029
T,C_constrained,TX,18,0.018
T,C_plus_unknown,T2,415,0.415
T,C_plus_unknown,T3,269,0.269
T,C_plus_unknown,T1,156,0.156
T,C_plus_unknown,T4,106,0.106
T,C_plus_unknown,unknown,51,0.051
T,C_plus_unknown,TX,3,0.003
T,D_grounded,T2,414,0.414
T,D_grounded,T3,268,0.268
T,D_grounded,T1,165,0.165
T,D_grounded,T4,99,0.099
T,D_grounded,unknown,50,0.05
T,D_grounded,TX,3,0.003
T,D_grounded,T0,1,0.001
N,A_zero_shot,N0,470,0.47
N,A_zero_shot,N1,244,0.244
N,A_zero_shot,N2,129,0.129
N,A_zero_shot,NX,55,0.055
N,A_zero_shot,unknown,37,0.037
N,A_zero_shot,N3,36,0.036
N,A_zero_shot,INVALID,29,0.029
N,C_constrained,N0,484,0.484
N,C_constrained,N1,247,0.247
N,C_constrained,N2,135,0.135
N,C_constrained,NX,53,0.053
N,C_constrained,unknown,45,0.045
N,C_constrained,N3,36,0.036
N,C_plus_unknown,N0,473,0.473
N,C_plus_unknown,N1,258,0.258
N,C_plus_unknown,N2,130,0.13
N,C_plus_unknown,unknown,83,0.083
N,C_plus_unknown,N3,33,0.033
N,C_plus_unknown,NX,23,0.023
N,D_grounded,N0,480,0.48
N,D_grounded,N1,249,0.249
N,D_grounded,N2,134,0.134
N,D_grounded,unknown,61,0.061
N,D_grounded,NX,43,0.043
N,D_grounded,N3,33,0.033
M,A_zero_shot,M0,431,0.431
M,A_zero_shot,MX,262,0.262
M,A_zero_shot,INVALID,153,0.153
M,A_zero_shot,unknown,117,0.117
M,A_zero_shot,M1,36,0.036
M,A_zero_shot,NX,1,0.001
M,C_constrained,M0,450,0.45
M,C_constrained,unknown,258,0.258
M,C_constrained,MX,251,0.251
M,C_constrained,M1,41,0.041
M,C_plus_unknown,unknown,550,0.55
M,C_plus_unknown,M0,248,0.248
M,C_plus_unknown,MX,163,0.163
M,C_plus_unknown,M1,39,0.039
M,D_grounded,unknown,497,0.497
M,D_grounded,MX,241,0.241
M,D_grounded,M0,222,0.222
M,D_grounded,M1,40,0.04
